,book_name,tags,year
128,庄子諵譁（上） (豆瓣),"['南怀瑾', '庄子', '哲学', '国学', '道家', '传统文化', '中国文化', '思想']", 2007.6
129,古代汉语（第一册） (豆瓣),"['古代汉语', '王力', '教材', '语言学', '古汉语', '国学', '语言', '汉语']", 1999-5
130,返璞归真 (豆瓣),"['基督教', '信仰', 'C.S.Lewis', '宗教', '神学', '灵修', '上帝', '路易斯']", 2007-3
131,费马大定理 (豆瓣),"['数学', '科普', '费马大定理', '数学史', '传记', '历史', '科学', '数论']", 2005-05-01
132,超越时空 (豆瓣),"['科普', '物理', '宇宙', '时空', '科学', '加来道雄', '物理学', '数学与自然科学']", 2009-6
133,古詩源 (豆瓣),"['古诗源', '古典文学', '诗词', '诗歌', '中国古典文学', '沈德潜', '中华书局', '古籍']", 2006-4
134,惶然录 (豆瓣),"['费尔南多·佩索阿', '随笔', '葡萄牙', '惶然录', '外国文学', '散文', '哲学', '韩少功']", 1995年5月第一版
135,蒋勋说红楼梦（第一辑） (豆瓣),"['蒋勋', '红楼梦', '红学', '红楼鉴赏书', '台湾', '文学', '中国文学', '文化']", 2010-9
136,大问题 (豆瓣),"['哲学', '哲学入门', '简明哲学导论', '西方哲学', '入门', '哲学史', '人文', '美国']", 2011-1
137,阿莱夫 (豆瓣),"['博尔赫斯', '小说', '阿根廷', '拉美文学', '外国文学', '文学', '拉美', '阿莱夫']", 2008-2
138,杀死一只反舌鸟 (豆瓣),"['小说', '哈珀·李', '美国', '外国文学', '美国文学', '经典', '反舌鸟', '文学']", 2009-2-1
139,故事 (豆瓣),"['电影', '剧本写作', '罗伯特·麦基', '编剧', '故事:材质、结构、风格和银幕剧作的原理', '电影理论', '写作', '剧本']", 2001-8
140,逻辑哲学论 (豆瓣),"['哲学', '维特根斯坦', '逻辑', '逻辑哲学论', '逻辑学', '西方哲学', '分析哲学', '语言哲学']", 1996-12
141,纳尔齐斯与歌尔德蒙 (豆瓣),"['赫尔曼·黑塞', '黑塞', '小说', '德国', '德国文学', '外国文学', '纳尔齐斯与歌尔德蒙', '文学']", 2007-7
142,新千年文学备忘录 (豆瓣),"['卡尔维诺', '文学理论', '意大利', '文学', '文学评论', '外国文学', '文艺理论', '黄灿然']", 2009-3
143,白鹿原 (豆瓣),"['陈忠实', '小说', '白鹿原', '茅盾文学奖', '中国文学', '经典', '史诗', '中国']", 2008-5
144,博尔赫斯全集 (豆瓣),"['博尔赫斯', '外国文学', '阿根廷', '文学', '小说', '博尔赫斯全集', '经典', '大师']", 1999-11
145,传奇(上下) (豆瓣),"['张爱玲', '小说', '传奇', '中国文学', '張愛玲', '文学', '才情', '中国']", 2003-1-1
146,人生的枷锁 (豆瓣),"['毛姆', '小说', '外国文学', '英国文学', '英国', '毛姆<人生的枷锁>', '人生的枷锁', '人生']", 2007-3
147,神经外科的黑色喜剧 (豆瓣),"['医学', '黑色幽默', '小说', '神经外科', '美国', '外国文学', '科普', '医家故事']", 2006-5
148,采桑子 (豆瓣),"['叶广芩', '京味', '小说', '家族', '中国文学', '当代文学', '采桑子', '中国']", 2009-1
149,围城 (豆瓣),"['钱钟书', '小说', '围城', '中国文学', '经典', '婚姻', '文学', '钱锺书']", 2002-5
150,写在人生边上 写在人生边上的边上 石语 (豆瓣),"['钱钟书', '随笔', '中国文学', '写在人生边上的边上', '杂文', '钱锺书', '散文', '文学']", 2001-1
151,人间是剧场 (豆瓣),"['宗萨蒋扬钦哲仁波切', '佛学', '修行', '宗教', '灵修', '佛教', '心灵', '人间是剧场']", 2010-10
152,平如美棠 (豆瓣),"['爱情', '平如美棠', '人生', '绘本', '生活', '饶平如', '我俩的故事', '回忆录']", 2013-5-1
153,悲惨世界（上下） (豆瓣),"['雨果', '外国文学', '小说', '法国文学', '悲惨世界', '法国', '经典', '名著']", 2006-8
